week,day_of_week,hour,n
2015-12-20T00:00:00Z,1,02,13
2015-12-27T00:00:00Z,1,02,6
2016-01-03T00:00:00Z,1,02,8
2016-01-10T00:00:00Z,1,02,8
2016-01-17T00:00:00Z,1,02,5
2016-01-24T00:00:00Z,1,02,7
2016-01-31T00:00:00Z,1,02,11
2016-02-07T00:00:00Z,1,02,7
2016-02-14T00:00:00Z,1,02,15
2016-02-21T00:00:00Z,1,02,4
2016-02-28T00:00:00Z,1,02,7
2016-03-06T00:00:00Z,1,02,12
2016-03-13T00:00:00Z,1,02,5
2016-03-20T00:00:00Z,1,02,12
2016-03-27T00:00:00Z,1,02,10
2016-04-03T00:00:00Z,1,02,9
2016-04-10T00:00:00Z,1,02,8
2016-04-17T00:00:00Z,1,02,6
2016-04-24T00:00:00Z,1,02,8
2016-05-01T00:00:00Z,1,02,12
2016-05-08T00:00:00Z,1,02,14
2016-05-15T00:00:00Z,1,02,12
2016-05-22T00:00:00Z,1,02,9
2016-05-29T00:00:00Z,1,02,6
2016-06-05T00:00:00Z,1,02,6
2016-06-12T00:00:00Z,1,02,7
2016-06-19T00:00:00Z,1,02,13
2016-06-26T00:00:00Z,1,02,5
2016-07-03T00:00:00Z,1,02,4
2016-07-10T00:00:00Z,1,02,8
2016-07-17T00:00:00Z,1,02,10
2016-07-24T00:00:00Z,1,02,6
2016-07-31T00:00:00Z,1,02,9
2016-08-07T00:00:00Z,1,02,14
2016-08-14T00:00:00Z,1,02,21
2016-08-21T00:00:00Z,1,02,19
2016-08-28T00:00:00Z,1,02,10
2016-09-04T00:00:00Z,1,02,12
2016-09-11T00:00:00Z,1,02,6
2016-09-18T00:00:00Z,1,02,13
2016-09-25T00:00:00Z,1,02,9
2016-10-02T00:00:00Z,1,02,13
2016-10-09T00:00:00Z,1,02,21
2016-10-16T00:00:00Z,1,02,19
2016-10-23T00:00:00Z,1,02,16
2016-10-30T00:00:00Z,1,02,20
2016-11-06T00:00:00Z,1,02,22
2016-11-13T00:00:00Z,1,02,14
2016-11-20T00:00:00Z,1,02,10
2016-11-27T00:00:00Z,1,02,8
2016-12-04T00:00:00Z,1,02,18
2016-12-11T00:00:00Z,1,02,19
2016-12-18T00:00:00Z,1,02,19
2016-12-25T00:00:00Z,1,02,10
2017-01-01T00:00:00Z,1,02,21
2017-01-08T00:00:00Z,1,02,14
2017-01-15T00:00:00Z,1,02,20
2017-01-22T00:00:00Z,1,02,16
2017-01-29T00:00:00Z,1,02,11
2017-02-05T00:00:00Z,1,02,15
2017-02-12T00:00:00Z,1,02,16
2017-02-19T00:00:00Z,1,02,14
2017-02-26T00:00:00Z,1,02,11
2017-03-05T00:00:00Z,1,02,17
2017-03-12T00:00:00Z,1,02,10
2017-03-19T00:00:00Z,1,02,10
2017-03-26T00:00:00Z,1,02,16
2017-04-02T00:00:00Z,1,02,13
